reviews,seat_type,date,country,recommend
"""5 hours and 30 mins but no meal""",Economy Class,2023-07-16,United Kingdom,no
"""Things have really deteriorated""",Premium Economy,2023-07-09,United Kingdom,no
"""I will never fly this airline again""",Economy Class,2023-07-09,United States,no
"""asked for an explanation but have received none""",Economy Class,2023-07-08,United Kingdom,no
"""short-changing passengers""",Premium Economy,2023-07-06,United Kingdom,no
"""Economy is absolutely awful""",Economy Class,2023-07-05,South Africa,no
"""Shocking customer service""",Economy Class,2023-07-05,United Kingdom,no
"""no representative to help""",Business Class,2023-07-04,Greece,no
"""Boarding was chaotic""",Economy Class,2023-07-03,Italy,no
"""In-line with competitors""",Economy Class,2023-07-02,Senegal,yes
"""Luggage are still in Glasgow""",Economy Class,2023-06-30,United States,no
"""whole experience was terrible""",Economy Class,2023-06-29,United Arab Emirates,no
"""preferred to fly on easyJet""",Economy Class,2023-06-29,United Kingdom,no
"""stated it is not their fault""",Economy Class,2023-06-27,United Kingdom,no
"""luggage was mis-tagged in Dallas""",Economy Class,2023-06-27,United States,no
"""The airline lost my luggage""",Economy Class,2023-06-25,United States,no
"""fully refunded by our travel insurance""",Business Class,2023-06-25,United States,no
"""no boarding drinks provided""",Business Class,2023-06-25,United Kingdom,no
"""WiFi didn't work"" ",Economy Class,2023-06-24,United Kingdom,no
"""stick with economy""",Business Class,2023-06-24,United Kingdom,yes
"""Communication is terrible""",Economy Class,2023-06-23,United States,no
"""delays and cancellations""",Business Class,2023-06-22,United States,no
"""Economy class seating was truly dreadful""",Economy Class,2023-06-20,United Kingdom,yes
"""flight failed at every level""",Economy Class,2023-06-20,United Kingdom,no
"""BA refuses to make it right""",Economy Class,2023-06-19,United States,no
"""shame for such well known airline""",Business Class,2023-06-19,United States,no
"""Total garbage""",Economy Class,2023-06-16,Romania,no
"""arrived at the airport only 1 hour before""",Economy Class,2023-06-13,United States,no
"""so callous and uncaring""",Economy Class,2023-06-12,Australia,no
"""uncomfy old planes""",Business Class,2023-06-11,United Kingdom,no
"""never fly British Airway ever again""",Economy Class,2023-06-11,United States,no
"""Most uncomfortable flight""",Economy Class,2023-06-10,United Kingdom,no
"""I will never fly British Airways again""",Economy Class,2023-06-08,United States,no
"""All in all very disappointing""",Premium Economy,2023-06-07,United Kingdom,no
"""customer service was horrendous""",Economy Class,2023-06-06,United States,no
"""All flights without exception were delayed""",Economy Class,2023-06-06,Greece,no
"""An excellent flight""",Business Class,2023-06-06,United Kingdom,yes
"""luggage was still in London"" ",Economy Class,2023-06-05,Canada,no
"""worst experience in all my years of travel""",Economy Class,2023-06-03,United States,no
"""The worst experience""",Economy Class,2023-06-03,Australia,no
"""haven’t received any reimbursement""",Economy Class,2023-06-02,United States,no
"""the crew has helped me""",Economy Class,2023-06-01,Cyprus,yes
"""check-in process was terrible""",Economy Class,2023-05-30,United States,no
"""the worst airline experience I've ever had to deal with""",Economy Class,2023-05-29,Italy,no
"""Service was good""",Premium Economy,2023-05-29,United Kingdom,yes
"""Last time I will fly British Airways""",Economy Class,2023-05-27,Canada,no
"""cancel your flight without notice""",Premium Economy,2023-05-23,United States,no
"""flights changed with no cost""",Economy Class,2023-05-23,Spain,yes
"""Cheap, quick and efficient""",Economy Class,2023-05-23,Chile,yes
"""the worst major European airline"" ",Business Class,2023-05-22,United Kingdom,no
"""do not think the fare was worth the money""",Business Class,2023-05-22,United Kingdom,no
"""BA is on the skids downhill""",Business Class,2023-05-19,United States,no
"""Absolutely terrible experience""",Economy Class,2023-05-17,United States,no
"""poor service and unhappy customers""",Economy Class,2023-05-17,United Kingdom,no
"""just won't use them again""",Economy Class,2023-05-17,United Kingdom,no
"""Another bad show""",Business Class,2023-05-14,United States,no
"""what an earth is going on at BA""",Business Class,2023-05-14,United Kingdom,no
"""I had to reschedule my flight""",Business Class,2023-05-13,United States,no
"""most appalling airline service""",Business Class,2023-05-08,Australia,no
"""Customer service is shocking""",Business Class,2023-05-06,United Kingdom,no
"""Avoid this airline"" ",Economy Class,2023-05-06,United Kingdom,no
"""a lot of actual lies being told""",Economy Class,2023-05-01,United Kingdom,no
"""premium price for very average service""",Business Class,2023-04-28,United Kingdom,no
"""lack of customer service""",Economy Class,2023-04-26,Sweden,no
"""Overall not a good airline""",Premium Economy,2023-04-24,United States,no
"""delayed and missed connecting flight""",Premium Economy,2023-04-24,Canada,no
"""!not a good experience""",Economy Class,2023-04-23,Ireland,no
""" A very pleasant experience""",Premium Economy,2023-04-22,United Kingdom,yes
"""It was a nightmare""",Economy Class,2023-04-18,United States,no
"""Abysmal service""",Economy Class,2023-04-18,United States,no
"""trained to give you the runaround""",Economy Class,2023-04-17,United States,no
"""they only had one choice of meal""",Economy Class,2023-04-17,Hong Kong,no
"""relentless BA cost cutting""",Business Class,2023-04-16,United Kingdom,no
"""I wouldn't recommend British Airways""",Economy Class,2023-04-15,United Kingdom,no
"""Absolutely horrible experience""",Economy Class,2023-04-15,United States,no
